CustomerID,Age,Gender,Location,IncomeLevel,SignupDate
9207fa75-5758-48d1-94ad-19c041e0520f,51,Female,Jensenberg,Low,2022-11-17
c139496e-cc89-498a-bd90-1fb4627b6cff,37,Male,Lake Jennifertown,Uncategorized,2021-01-01
50118139-7264-428f-81cc-a25fddc5d6dd,44,Male,Port Carl,Medium,2024-06-10
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50,Female,Jessebury,High,2023-08-24
2de49c7c-32ae-4ba8-b058-622a090d7094,53,Female,Emilyville,Low,2022-02-13
8602d631-457c-49c1-8b59-8efb2a4448d4,51,Male,East Keithville,High,2022-04-17
56f11a95-76f1-4a97-b38f-db1dc95da1ed,59,Female,East Nathan,Medium,2020-01-02
3f520998-2bc4-4f38-af82-5ab2de339984,59,Female,Smithside,High,2023-10-06
b2f4c25e-be11-4912-9d14-5c288616e56e,29,Male,South Timothyhaven,High,2023-07-09
8de7560f-370d-4cfd-8135-20a3de237264,31,Female,Colemanstad,Low,2020-12-01
fcb513ca-6a74-4745-b855-6cc3e891cc02,53,Female,East Stuart,Medium,2022-01-09
9fc2bfa2-6dd0-4557-883b-18c88361a277,24,Female,North Kelly,Medium,2023-06-09
30ac13c2-740f-4650-a33b-2fe3c5a6adc2,49,Male,Morenoville,Low,2020-09-19
981deb70-b1e1-4d06-a2b3-489bec80c7e9,29,Male,Robertborough,Low,2023-12-16
8704391b-7a78-454a-a257-cefaa907d324,65,Male,Sherryborough,High,2022-10-02
2577a150-d45a-4a04-b9e5-312e050d6f68,45,Male,Port Scott,High,2023-02-23
2fa0a6aa-a9cc-46ad-b567-e26976a98234,53,Male,Gonzalezshire,High,2022-08-06
23b3aa96-cec0-4964-8176-98ce984158a8,64,Female,West Pamborough,Low,2020-01-30
45fd78bb-ce7d-49b2-a43f-c418abc621d7,52,Male,East Tonya,Medium,2023-07-30
c56a1423-e1b0-45c1-974a-55f5fa029c88,61,Male,South Kim,Medium,2022-08-13
ef562111-91d8-47bc-a2b1-d6622604fd3d,61,Female,Loganbury,Low,2020-10-05
24c99886-9e2e-4b95-a28d-6a809ddf8447,47,Male,South Rachelview,Low,2021-10-15
88c11bb5-495a-4fa4-9dca-ba16c044b52f,29,Male,Cruzville,Uncategorized,2022-01-03
249a52ef-4f20-4035-ade0-4855537d75a2,25,Female,Port Dillonstad,Uncategorized,2021-08-11
b79b5054-0141-4007-8a24-fca072355faf,18,Female,East Samanthaview,High,2020-04-07
62a8fa58-109b-4f81-a035-ba7ce2b39f38,19,Male,New Margaret,Low,2023-04-15
