CustomerID,TransactionID,TransactionDate,Amount,ProductCategory,PaymentMethod
60567026-f719-4cd6-849e-137e86d8938f,5ff75116-0a50-4d04-80fb-31e5ccbb0769,2024-05-15,117.64,Clothing,PayPal
4090ba85-b111-4f75-a792-c777965f5255,2c39b9fe-ff57-4d39-9321-9f5cdf187aa1,2023-04-26,466.14,Health & Beauty,Bank Transfer
9223891b-73ff-4d5c-b8ae-13ece82ee28b,f79588dd-3db9-4ffa-97f8-7de0e64259f1,2022-09-23,563.99,Clothing,Debit Card
9243eebc-938f-480c-8564-16d503d250de,401c0fc9-60df-4455-ad78-67c132f9897d,2024-04-15,254.44,Automotive,PayPal
6e3e8eb8-bc0f-4ffe-9f74-5d5efec9502f,2034aebc-8280-4254-a667-92bcd1c2be4f,2024-06-03,590.52,Home & Garden,Bank Transfer
3eccdcf9-e8ce-4e44-9f62-8bef88e70672,78dfb45e-16e0-4ecc-8f67-f2e210c31c3e,2024-04-07,489.79,Uncategorized,Credit Card
7fbc5847-a652-4fc8-a7d8-5e85d846e91b,591f1ea2-c97d-44dd-9539-71ac89b94ff3,2024-01-12,489.79,Automotive,PayPal
958e5c8d-48ca-42dd-bb71-a766a374233a,fb24e098-3ab9-40a2-bcc3-b8ebb23f549a,2023-03-10,399.7,Home & Garden,PayPal
39c6e7d2-6c4b-44c0-8961-ddc1ecbdb0c6,833b026a-7c02-4101-832d-62c07569b0f6,2024-01-26,296.99,Clothing,PayPal
474f9233-0616-431b-b3e9-a6feabe68abb,f8bde21a-7a6b-41f6-ac39-eeb77640fa9b,2023-06-15,149.39,Clothing,Debit Card
187ec535-ad79-418a-aa08-86fd8a2becbb,85dc5e9e-1bd7-44e3-9a13-980736fedd3c,2023-06-01,255.41,Health & Beauty,Bank Transfer
848f7178-b94b-4d8e-8baa-6a3886828887,80cd99c4-01c7-47ec-8272-79250c1c4725,2024-03-09,813.81,Electronics,Credit Card
c3a5e86e-a74b-420e-b1e7-13bcbe6b71ac,e101f309-f9f8-4856-aa30-0153aa5f368c,2022-11-06,989.99,Electronics,Debit Card
0e09f085-80ce-47c9-9fb2-e936ef0e9065,65267198-f460-4051-95dc-a491fa1cab66,2024-01-28,158.35,Electronics,Bank Transfer
28c29c18-0cbe-40ea-b218-a96430cc4409,deaec587-bd63-4556-8cea-e9d297f6651e,2023-11-08,140.88,Automotive,Credit Card
68b5a27d-980f-409d-9b64-acc242c86f8e,3d5a459b-4b31-4fab-ab67-8d846e07471f,2022-07-24,775.43,Electronics,Credit Card
54b3556e-e480-41a2-9dcd-7da1d91655aa,c181a599-fcc7-4f9b-b618-783684e0fd24,2023-03-06,861.39,Clothing,Bank Transfer
decfbb11-2324-4a91-b4a4-da3011046f88,3dd5070c-5644-408f-bc17-15bf71f345a5,2024-04-17,130.53,Electronics,PayPal
5dfe3352-ee78-4510-a968-9aba1dd940a2,f68315c9-1273-4ae3-8f0b-0479bc90cb5b,2023-05-02,140.01,Health & Beauty,Bank Transfer
be854a65-4191-467a-9237-60b4e088df5b,b5d01bad-fb0a-4d50-8aa5-8f84c554096b,2023-12-27,478.53,Clothing,Bank Transfer
3d921b43-7411-4048-a294-c1f40ff81a30,f4f92a38-82a7-4b71-a170-679bec99cbb4,2024-04-04,602.91,Automotive,Debit Card
2be2a985-68f6-42b1-95a8-768c5c661980,385a2e49-8003-40db-bd88-d3ae09e9c6ea,2024-05-21,262.24,Home & Garden,Debit Card
